Individual ,Sex,Age,ES1,Box,Treament,Recording,Order,Start date,NumericDate,RecordingSession,Entry time,Scan time,Noise on,Noise off,Noise on 2,Exit time,ChangeET,Asleep,Awake,SleepBout,SleepDuration,ChangeSD,SDBase,SleepNoise1,SleepSilence1,Timeinbox,SleepProp,ChangeSP,SleepPropN,SleepPropS,SboutFreq,ChangeSBF,SboutN,SboutS,AveSBL,ChangeSBL,AveSBLN,AveSBLS,NoiseType,Volume
56v87995,F,ASY,9,R13,Baseline,Baseline,BCS,2/4/2020,65,February,17.3105555555556,18.1119444444444,19.1119444444444,1.11194444444444,7.11194444444444,8.05333333333333,,17.3283333333333,17.6577777777778,0.329444444444444,13.9586111111111,,,5.82388888888889,5.92083333333333,14.7427777777778,0.946810114180201,,0.970648148148148,0.986805555555556,3.79847006067001,,4.5,2.16666666666667,0.249260912698413,,0.228322222222222,0.390726495726496,Baseline,Baseline
56v87995,F,ASY,9,R13,ConsistentNoise,C293,BCS,2/5/2020,66,February,17.3094444444444,18.2925,19.2875,1.27916666666667,7.29944444444444,7.90555555555556,-0.147777777777779,17.3744444444444,18.1880555555556,0.813611111111111,13.5669444444445,-0.391666666666646,13.9586111111111,5.70000000000001,5.83722222222222,14.5961111111111,0.929490351311233,-0.017319762868968,0.950000000000002,0.97287037037037,3.90514977353176,0.106679712861755,5.83333333333333,2,0.23801656920078,-0.011244343497633,0.155168350168351,0.347384259259259,Consistent,Low
56v87995,F,ASY,9,R13,ConsistentNoiseL,C294,BCSC,2/8/2020,69,February,17.3272222222222,18.2941666666667,19.2936111111111,1.29361111111111,7.29361111111111,8.06277777777778,0.009444444444444,17.3547222222222,17.3572222222222,0.002499999999998,13.545,-0.413611111111127,13.9586111111111,5.57972222222221,5.7925,14.7355555555556,0.919205248077212,-0.027604866102989,0.929953703703702,0.965416666666667,7.32921128034987,3.53074121967986,10.5,4.66666666666667,0.125416666666667,-0.123844246031746,0.088073770491803,0.188075396825397,Consistent,High
56v87995,F,ASY,9,R13,VariableNoise,S1,BCS,2/6/2020,67,February,17.6038888888889,18.6763888888889,19.6819444444444,1.68194444444444,7.66444444444444,7.75944444444444,-0.29388888888889,17.6297222222222,18.0036111111111,0.373888888888889,13.3777777777778,-0.580833333333327,13.9586111111111,5.84166666666666,5.79722222222222,14.1555555555556,0.945054945054945,-0.001755169125256,0.97361111111111,0.966203703703704,3.88540031397174,0.086930253301735,5.5,2.66666666666667,0.243232323232323,-0.006028589466089,0.138243727598566,0.349166666666667,Variable,Low
58v87747,M,ASY,11,k10,Baseline,Baseline,BSC,2/4/2020,65,February,17.4744444444444,17.7211111111111,18.7211111111111,0.721111111111111,6.72111111111111,7.84805555555556,,17.4997222222222,17.5016666666667,0.00194444444444,13.8044444444445,,,5.82333333333335,5.94777777777778,14.3736111111111,0.960401971204948,,0.970555555555558,0.991296296296296,5.35703932747125,,7.33333333333333,3,0.179278499278499,,0.131283068783069,0.340200617283951,Baseline,Baseline
58v87747,M,ASY,11,k10,ConsistentNoise,C293,BSC,2/7/2020,68,February,17.7733333333333,17.9513888888889,18.9647222222222,0.955555555555555,6.97666666666667,7.71972222222222,-0.128333333333333,17.8766666666667,17.9513888888889,0.074722222222221,12.6572222222222,-1.14722222222223,13.8044444444445,5.655,5.77444444444445,13.9463888888889,0.90756269046149,-0.052839280743459,0.9425,0.962407407407408,5.52114247017348,0.164103142702228,7.33333333333333,3.16666666666667,0.164379509379509,-0.01489898989899,0.130568783068783,0.279078947368421,Consistent,Low
58v87747,M,ASY,11,k10,VariableNoise,S1,BSC,2/5/2020,66,February,17.4913888888889,17.6838888888889,18.6963888888889,0.703611111111111,6.71194444444445,7.86916666666667,0.021111111111113,17.5419444444444,17.6838888888889,0.141944444444441,11.8719444444444,-1.93250000000002,13.8044444444445,3.97777777777777,5.58416666666667,14.3777777777778,0.825714837712519,-0.13468713349243,0.662962962962962,0.930694444444444,5.42503863987635,0.067999312405098,6.33333333333333,4.66666666666667,0.152204415954416,-0.027074083324084,0.103564814814815,0.199027777777778,Variable,Low
58v87747,M,ASY,11,k10,VariableNoiseL,S3,BSCS,2/8/2020,69,February,17.7133333333333,18.0116666666667,19.0244444444444,1.00472222222222,7.0075,7.83194444444444,-0.016111111111111,17.7525,17.8169444444444,0.064444444444444,12.5808333333334,-1.2236111111111,13.8044444444445,5.23611111111113,5.68666666666667,14.1186111111111,0.891081511794914,-0.069320459410035,0.872685185185189,0.947777777777778,9.70350404312668,4.34646471565543,13.6666666666667,7.16666666666667,0.091830900243309,-0.08744759903519,0.062090277777778,0.127913436692506,Variable,High
58v89062,F,ASY,1,pk17a,Baseline,Baseline,BSC,2/6/2020,67,February,17.6711111111111,18.2369444444444,19.2369444444444,1.23694444444444,7.23694444444444,7.96083333333333,,17.7116666666667,17.715,0.003333333333334,13.5844444444444,,,5.79,5.82555555555556,14.2897222222222,0.95064440254262,,0.965,0.970925925925926,5.94833116264604,,6,5,0.159816993464052,,0.156764705882353,0.182018518518519,Baseline,Baseline
58v89062,F,ASY,1,pk17a,ConsistentNoise,C294,BSC,2/8/2020,69,February,17.6375,18.0816666666667,19.0902777777778,1.08277777777778,7.08388888888889,7.89972222222222,-0.061111111111112,17.6919444444444,17.7130555555556,0.021111111111111,13.5258333333333,-0.058611111111123,13.5844444444444,5.70333333333332,5.80333333333333,14.2622222222222,0.948367871611092,-0.002276530931527,0.950555555555553,0.967222222222222,8.34372078529137,2.39538962264533,9.5,6.16666666666667,0.113662464985994,-0.046154528478058,0.098277777777778,0.151328828828829,Consistent,Low
58v89062,F,ASY,1,pk17a,VariableNoise,S2,BSC,2/7/2020,68,February,17.7136111111111,18.1813888888889,19.2027777777778,1.19027777777778,7.18333333333333,7.80972222222222,-0.151111111111112,17.7677777777778,17.7708333333333,0.003055555555555,13.1097222222222,-0.474722222222212,13.5844444444444,5.60055555555557,5.81694444444445,14.0961111111111,0.930024041303748,-0.020620361238872,0.933425925925928,0.969490740740741,7.16509675639459,1.21676559374856,8.5,4.66666666666667,0.129799229922992,-0.03001776354106,0.098259637188209,0.19734126984127,Variable,Low
58v90227,F,ASY,1,R14,Baseline,Baseline,BSC,2/4/2020,65,February,17.2894444444444,18.1708333333333,19.1708333333333,1.17083333333333,7.17083333333333,7.96944444444445,,17.345,17.3466666666667,0.001666666666665,13.3491666666667,,,5.5175,5.86333333333334,14.68,0.909343778383288,,0.919583333333333,0.977222222222223,6.47138964577657,,8,4.33333333333333,0.140517543859649,,0.113864734299517,0.22383547008547,Baseline,Baseline
58v90227,F,ASY,1,R14,ConsistentNoise,C294,BSC,2/6/2020,67,February,17.85,18.6991666666667,19.7144444444444,1.70694444444444,7.71277777777778,7.88694444444444,-0.082500000000001,18.0444444444444,18.15,0.105555555555551,12.81,-0.539166666666667,13.3491666666667,5.66861111111111,5.70416666666667,14.0369444444444,0.912591771713534,0.003247993330246,0.944768518518518,0.950694444444444,6.98157639562266,0.510186749846096,8.66666666666667,5.33333333333333,0.130714285714286,-0.009803258145363,0.107922222222222,0.159227430555556,Consistent,Low
58v90227,F,ASY,1,R14,VariableNoise,S3,BSC,2/5/2020,66,February,17.6033333333333,18.2783333333333,19.2986111111111,1.27888888888889,7.2825,7.99361111111111,0.024166666666666,17.6663888888889,17.6902777777778,0.023888888888887,13.2625,-0.086666666666671,13.3491666666667,5.69722222222223,5.78527777777778,14.3902777777778,0.921629186371972,0.012285407988684,0.949537037037038,0.964212962962963,5.35083486149986,-1.12055478427671,5,5.16666666666667,0.17224025974026,0.031722715880611,0.158720238095238,0.166998207885305,Variable,Low
58v90227,F,ASY,1,R14,VariableNoiseL,S2,BSC,2/8/2020,69,February,17.8097222222222,18.3027777777778,19.3305555555556,1.31916666666667,7.30972222222222,7.915,-0.054444444444445,17.8575,17.8858333333333,0.028333333333333,12.585,-0.764166666666673,13.3491666666667,5.39888888888889,5.63277777777778,14.1052777777778,0.892219224482562,-0.017124553900727,0.899814814814815,0.938796296296296,7.23133578841647,0.759946142639905,6.5,8.5,0.123382352941176,-0.017135190918473,0.142545045045045,0.107096949891068,Variable,High
58v90280,M,ASY,0,k3b,Baseline,Baseline,BSC,12/23/2019,23,December,16.9375,17.4211111111111,18.4211111111111,24.4211111111111,6.42111111111111,8.58638888888889,,17.0147222222222,17.115,0.10027777777778,15.0966666666667,,,5.8711111111111,5.88555555555555,15.6488888888889,0.964711729622266,,0.978518518518516,0.980925925925925,3.96194262993468,,5.16666666666667,2.16666666666667,0.243494623655914,,0.18147509578544,0.380961538461538,Baseline,Baseline
58v90280,M,ASY,0,k3b,ConsistentNoise,C294,BSC,12/25/2019,25,December,16.9397222222222,16.9605555555556,17.9605555555556,23.9527777777778,5.95777777777778,8.40305555555556,-0.183333333333334,17.0575,17.0594444444444,0.001944444444444,14.9425,-0.15416666666666,15.0966666666667,5.81361111111111,5.89472222222222,15.4633333333333,0.966318172019832,0.001606442397566,0.968935185185185,0.982453703703704,5.23819788747575,1.27625525754107,7.83333333333333,2.16666666666667,0.184475308641975,-0.059019315013939,0.11911231884058,0.443162393162393,Consistent,Low
58v90280,M,ASY,0,k3b,VariableNoise,S1,BSC,12/24/2019,24,December,16.9052777777778,17.5905555555556,18.6216666666667,0.623333333333333,6.61638888888889,8.56416666666667,-0.022222222222222,17.1811111111111,17.2727777777778,0.091666666666665,14.0355555555556,-1.0611111111111,15.0966666666667,5.42361111111111,5.51305555555555,15.6588888888889,0.896331512098205,-0.068380217524061,0.903935185185186,0.918842592592592,13.4109132193287,9.44897058939407,15.5,12.8333333333333,0.066835978835979,-0.176658644819935,0.053070818070818,0.072626262626263,Variable,Low
58v90282,M,ASY,25,k37,Baseline,Baseline,BCS,2/4/2020,65,February,17.3358333333333,17.895,18.895,0.895,6.895,8.04111111111111,,17.3972222222222,17.8258333333333,0.42861111111111,13.8386111111111,,,5.70333333333334,5.79083333333334,14.7052777777778,0.941064243752244,,0.950555555555557,0.965138888888889,4.14817053589981,,4.33333333333333,3.5,0.22686247723133,,0.214988425925926,0.237156084656085,Baseline,Baseline
58v90282,M,ASY,25,k37,ConsistentNoise,C294,BCS,2/5/2020,66,February,17.4269444444444,17.8916666666667,18.9027777777778,0.895277777777778,6.90027777777778,7.9125,-0.12861111111111,17.4994444444444,17.5102777777778,0.010833333333331,13.3980555555556,-0.440555555555561,13.8386111111111,5.6163888888889,5.71,14.4855555555556,0.924925212855719,-0.016139030896525,0.936064814814817,0.951666666666667,7.52473728618547,3.37656675028566,10,6.16666666666667,0.122917940876657,-0.103944536354673,0.122917940876657,0.131291291291291,Consistent,Low
58v90282,M,ASY,25,k37,ConsistentNoiseL,C295,BCS,2/7/2020,68,February,17.6880555555556,18.1369444444444,19.1466666666667,1.13833333333333,7.13194444444444,7.89472222222222,-0.146388888888889,17.7947222222222,18.1369444444444,0.342222222222222,13.1841666666667,-0.65444444444444,13.8386111111111,5.80972222222223,5.74055555555556,14.2066666666667,0.928026748005632,-0.013037495746612,0.968287037037038,0.95675925925926,5.20882214922572,1.06065161332591,6.16666666666667,4,0.178164414414415,-0.048698062816915,0.147361111111111,0.245712560386473,Consistent,High
58v90282,M,ASY,25,k37,VariableNoise,S2,BCS,2/6/2020,67,February,17.5772222222222,18.1858333333333,19.1975,1.18555555555556,7.17833333333333,7.7825,-0.258611111111111,17.6794444444444,17.7013888888889,0.021944444444444,13.0441666666667,-0.794444444444453,13.8386111111111,5.64361111111111,5.66083333333333,14.2052777777778,0.918261991826199,-0.022802251926045,0.940601851851851,0.943472222222222,6.68765521422007,2.53948467832026,7.83333333333333,6.16666666666667,0.13730701754386,-0.08955545968747,0.109104938271605,0.151366366366366,Variable,Low
58v90283,M,SY,23,k13,Baseline,Baseline,BCS,2/4/2020,65,February,17.3830555555556,17.8469444444444,18.8469444444444,0.846944444444445,6.84694444444444,7.82472222222222,,17.4655555555556,17.4688888888889,0.003333333333334,13.5805555555556,,,5.69777777777778,5.77166666666667,14.4416666666667,0.94037314868244,,0.94962962962963,0.961944444444445,13.8488170802077,,17.6666666666667,13.1666666666667,0.067902777777778,,0.050180690399137,0.057971167369902,Baseline,Baseline
58v90283,M,SY,23,k13,ConsistentNoise,C295,BCS,2/5/2020,66,February,17.4430555555556,17.8036111111111,18.8175,0.809166666666667,6.8025,7.85444444444444,0.029722222222222,17.5177777777778,17.6511111111111,0.133333333333333,13.6855555555556,0.104999999999992,13.5805555555556,5.8313888888889,5.90166666666667,14.4113888888889,0.949634741042001,0.00926159235956,0.971898148148151,0.983611111111111,4.02459474566797,-9.82422233453976,4.66666666666667,3.33333333333333,0.23595785440613,0.168055076628353,0.201602564102565,0.267875,Consistent,Low
58v90283,M,SY,23,k13,ConsistentNoiseL,C293,BCS,2/7/2020,68,February,17.4622222222222,18.0630555555556,19.0702777777778,1.06166666666667,7.08222222222222,7.70083333333333,-0.123888888888889,17.5255555555556,17.8694444444444,0.343888888888888,13.4902777777778,-0.090277777777804,13.5805555555556,5.76916666666665,5.82166666666667,14.2386111111111,0.94744337579742,0.00707022711498,0.961527777777776,0.970277777777778,4.91620983632143,-8.93260724388631,6.66666666666667,2.66666666666667,0.192718253968254,0.124815476190476,0.143961988304093,0.248072916666667,Consistent,High
58v90283,M,SY,23,k13,VariableNoise,S3,BCS,2/6/2020,67,February,17.5469444444444,18.1116666666667,19.1369444444444,1.13916666666667,7.1325,7.72083333333333,-0.103888888888889,17.6041666666667,17.7005555555556,0.096388888888885,13.6480555555556,0.067499999999987,13.5805555555556,5.88583333333333,5.92361111111111,14.1738888888889,0.962901266021244,0.022528117338804,0.980972222222222,0.987268518518519,4.09203151334614,-9.7567855668616,5.5,2.33333333333333,0.235311302681992,0.167408524904215,0.158593189964158,0.397757936507937,Variable,Low
58v90284,M,SY,0,k40,Baseline,Baseline,BSC,2/4/2020,65,February,17.3827777777778,17.7822222222222,18.7822222222222,0.782222222222222,6.78222222222222,7.87805555555556,,17.4669444444444,17.7797222222222,0.312777777777779,13.725,,,5.64055555555557,5.94166666666667,14.4952777777778,0.946860088534581,,0.940092592592594,0.990277777777778,5.93296667497078,,9.83333333333333,2.33333333333333,0.159593023255814,,0.088796296296297,0.434285714285714,Baseline,Baseline
58v90284,M,SY,0,k40,ConsistentNoise,C295,BSC,2/6/2020,67,February,17.7894444444444,17.9972222222222,19.0483333333333,1.04166666666667,7.03333333333333,7.68694444444444,-0.191111111111112,17.8608333333333,17.8786111111111,0.017777777777777,12.9605555555556,-0.764444444444443,13.725,5.79805555555556,5.87444444444445,13.8975,0.932581799284444,-0.014278289250137,0.966342592592592,0.979074074074074,5.25274329915453,-0.680223375816252,6.66666666666667,3.33333333333333,0.177541856925419,0.017948833669605,0.148808479532164,0.282819444444444,Consistent,Low
58v90284,M,SY,0,k40,VariableNoise,S2,BSC,2/5/2020,66,February,17.4738888888889,17.7302777777778,18.7488888888889,0.733333333333333,6.73333333333333,7.83194444444444,-0.046111111111112,17.5458333333333,17.6616666666667,0.115833333333331,13.1280555555556,-0.596944444444439,13.725,5.33194444444445,5.86666666666667,14.3580555555556,0.914333804097584,-0.032526284436997,0.888657407407409,0.977777777777778,7.1040260016638,1.17105932669302,10.8333333333333,3.66666666666667,0.128706427015251,-0.030886596240563,0.080348324514991,0.25364898989899,Variable,Low
58v90284,M,SY,0,k40,VariableNoiseL,S2,BSCS,2/6/2020,67,February,17.6863888888889,18.0033333333333,19.0125,1.00166666666667,6.99305555555556,7.65583333333333,-0.222222222222222,17.7694444444444,17.9861111111111,0.216666666666669,12.6583333333333,-1.06666666666666,13.725,5.31027777777779,5.7875,13.9694444444444,0.906144362696362,-0.040715725838219,0.885046296296298,0.964583333333333,8.01749850864983,2.08453183367905,11,6,0.113020833333333,-0.046572189922481,0.071987847222222,0.142530864197531,Variable,High
58v90300,M,SY,0,R12,Baseline,Baseline,BSC,12/16/2019,16,December,16.5166666666667,17.6063888888889,18.6063888888889,0.606388888888889,6.60638888888889,8.41805555555555,,16.5858333333333,16.8144444444444,0.22861111111111,15.3766666666667,,,5.22083333333333,5.87277777777778,15.9013888888889,0.967001484845838,,0.870138888888889,0.978796296296296,4.48731844786473,,3.5,3.66666666666667,0.222850241545894,,0.271666666666667,0.257083333333333,Baseline,Baseline
58v90300,M,SY,0,R12,ConsistentNoise,C295,BSC,12/18/2019,18,December,16.7391666666667,17.7219444444444,18.7219444444444,0.721944444444445,6.72194444444444,8.35083333333333,-0.067222222222222,16.7972222222222,17.0325,0.235277777777775,14.7119444444444,-0.66472222222222,15.3766666666667,5.80722222222222,5.75944444444445,15.6116666666667,0.942368598982242,-0.024632885863595,0.96787037037037,0.959907407407408,4.8040994982385,0.316781050373764,5.5,5,0.196159259259259,-0.026690982286635,0.166030465949821,0.188101851851852,Consistent,Low
58v90300,M,SY,0,R12,VariableNoise,S3,BSC,12/17/2019,17,December,16.0291666666667,17.4994444444444,18.4994444444444,0.499444444444444,6.49944444444444,8.37638888888889,-0.041666666666664,16.7416666666667,16.7880555555556,0.046388888888892,14.8897222222222,-0.486944444444426,15.3766666666667,5.7725,5.87055555555556,16.3472222222222,0.910841121495328,-0.05616036335051,0.962083333333333,0.978425925925926,4.5267629566695,0.039444508804766,5.66666666666667,3.5,0.201212462462463,-0.021637779083431,0.147421875,0.238664021164021,Variable,Low
58v91081,M,ASY,1,k65,Baseline,Baseline,BCS,2/4/2020,65,February,17.5333333333333,17.7191666666667,18.7191666666667,0.719166666666667,6.71916666666667,7.98833333333333,,17.5669444444444,17.5791666666667,0.012222222222221,13.6883333333333,,,5.67,5.83694444444445,14.455,0.946961835581691,,0.944999999999999,0.972824074074075,8.09408509166379,,11.3333333333333,5,0.116994301994302,,0.080829124579125,0.187425925925926,Baseline,Baseline
58v91081,M,ASY,1,k65,ConsistentNoise,C294,BCS,2/6/2020,67,February,17.8858333333333,17.9566666666667,18.9686111111111,0.961388888888889,6.96638888888889,7.77055555555556,-0.217777777777778,17.91,17.9169444444444,0.006944444444446,12.8177777777778,-0.870555555555551,13.6883333333333,5.44944444444445,5.87916666666667,13.8847222222222,0.923156947084126,-0.023804888497565,0.908240740740742,0.979861111111111,11.8835650695209,3.78947997785707,20,4.16666666666667,0.077683501683502,-0.0393108003108,0.041859698681733,0.224877777777778,Consistent,Low
58v91081,M,ASY,1,k65,ConsistentNoiseL,C295,BCSC,2/8/2020,69,February,17.81,18.1011111111111,19.1161111111111,1.11305555555556,7.10111111111111,7.76694444444444,-0.221388888888889,17.8375,17.8452777777778,0.007777777777779,12.4894444444444,-1.19888888888891,13.6883333333333,5.22027777777777,5.7175,13.9569444444444,0.894855209473579,-0.052106626108112,0.870046296296295,0.952916666666666,15.8344113842173,7.74032629255355,24.3333333333333,9.5,0.056258758758759,-0.060735543235543,0.035327932098765,0.093260233918129,Consistent,High
58v91081,M,ASY,1,k65,VariableNoise,S1,BCS,2/7/2020,68,February,17.9066666666667,17.9833333333333,18.9691666666667,0.967777777777778,6.96694444444444,7.69444444444444,-0.293888888888889,17.9402777777778,17.95,0.009722222222223,12.6916666666667,-0.996666666666677,13.6883333333333,5.45166666666666,5.77611111111111,13.7877777777778,0.9205012490934,-0.026460586488291,0.90861111111111,0.962685185185185,11.0967845918285,3.00269950016473,15.1666666666667,6.5,0.082952069716776,-0.034042232277527,0.056744694132335,0.104729344729345,Variable,Low
59v66657,M,ASY,4,k10a,Baseline,Baseline,BSC,2/4/2020,65,February,17.4336111111111,17.7611111111111,18.7611111111111,0.761111111111111,6.76111111111111,7.82722222222222,,17.4583333333333,17.7611111111111,0.302777777777781,13.8155555555556,,,5.80166666666668,5.9025,14.3936111111111,0.959839434934482,,0.966944444444446,0.98375,5.14116988633074,,6.5,3.5,0.186696696696697,,0.153528528528529,0.256626984126984,Baseline,Baseline
59v66657,M,ASY,4,k10a,ConsistentNoise,C295,BSC,2/7/2020,68,February,17.8869444444444,18.0030555555556,19.0108333333333,1.0025,6.99611111111111,7.67444444444445,-0.152777777777777,17.9247222222222,18.0030555555556,0.078333333333333,13.1041666666667,-0.711388888888891,13.8155555555556,5.80166666666667,5.89111111111111,13.7875,0.950438198851617,-0.009401236082864,0.966944444444444,0.981851851851852,6.52765185856754,1.3864819722368,8.66666666666667,3.83333333333333,0.145601851851852,-0.041094844844845,0.114,0.247886473429952,Consistent,Low
59v66657,M,ASY,4,k10a,VariableNoise,S3,BSC,2/6/2020,67,February,17.7819444444444,18.0330555555556,19.045,1.025,7.02777777777778,,,17.8208333333333,18.0330555555556,0.212222222222223,,,,5.75666666666667,5.87944444444444,,,,0.959444444444445,0.979907407407407,,,9.66666666666667,5,0.138161938534279,-0.048534758162418,0.096116161616162,0.185787037037037,Variable,Low
59v66657,M,ASY,4,k10a,VariableNoiseL,S1,BSCS,2/8/2020,69,February,17.6844444444444,17.9877777777778,18.9944444444444,0.997222222222222,6.99055555555556,7.655,-0.172222222222222,17.725,17.9883333333333,0.263333333333335,13.1927777777778,-0.622777777777783,13.8155555555556,5.64916666666666,5.82027777777778,13.9705555555556,0.944327355151708,-0.015512079782774,0.941527777777777,0.970046296296296,7.73054439893427,2.58937451260352,10.3333333333333,5.16666666666667,0.122155349794239,-0.064541346902458,0.093486111111111,0.174471326164875,Variable,High
59v66802,M,ASY,26,k4,Baseline,Baseline,BSC,12/23/2019,23,December,16.9744444444444,17.4488888888889,18.4488888888889,0.448888888888889,6.44888888888889,8.47222222222222,,17.0238888888889,17.3130555555556,0.28916666666667,14.66,,,5.81499999999998,5.86777777777778,15.4977777777778,0.945942070547748,,0.969166666666664,0.977962962962963,4.7748781187267,,4.66666666666667,2.83333333333333,0.198108108108108,,0.212446581196581,0.320098039215686,Baseline,Baseline
59v66802,M,ASY,26,k4,ConsistentNoise,C295,BSC,12/25/2019,25,December,16.8094444444444,16.8891666666667,17.8969444444444,23.8891666666667,5.88333333333333,8.16611111111111,-0.306111111111111,16.8711111111111,16.8844444444444,0.013333333333332,14.0319444444444,-0.628055555555552,14.66,5.79083333333332,5.79722222222222,15.3566666666667,0.913736343245785,-0.032205727301963,0.965138888888887,0.966203703703703,13.5,8.7251218812733,5.5,5.16666666666667,0.173233882030178,-0.02487422607793,0.177087813620071,0.173754480286738,Consistent,Low
59v66802,M,ASY,26,k4,VariableNoise,S3,BSC,12/24/2020,24,December,17.0152777777778,17.6336111111111,18.6511111111111,0.630833333333333,6.63361111111111,8.285,-0.187222222222223,17.0841666666667,17.3325,0.248333333333335,12.5725,-2.08749999999999,14.66,4.27583333333333,5.81305555555556,15.2697222222222,0.823361408742792,-0.122580661804956,0.712638888888888,0.968842592592592,4.71521347619654,-0.059664642530159,2.5,6.16666666666667,0.174618055555556,-0.023490052552553,0.180299145299145,0.143528528528528,Variable,Low
60v45012,M,ASY,23,k44a,Baseline,Baseline,BSC,12/16/2019,16,December,16.5225,17.085,18.085,0.085,6.085,8.41805555555555,,16.6336111111111,16.6388888888889,0.005277777777778,13.2511111111111,,,4.94222222222226,5.47944444444445,15.8955555555556,0.833636236544109,,0.823703703703709,0.913240740740741,10.8206346987278,,12.5,9,0.077041343669251,,0.066396499238965,0.100550411522634,Baseline,Baseline
60v45012,M,ASY,23,k44a,ConsistentNoise,C294,BSC,12/18/2019,18,December,16.8341666666667,17.1591666666667,18.1652777777778,0.157777777777778,6.16305555555556,8.39305555555556,-0.024999999999999,16.8947222222222,16.9011111111111,0.006388888888889,14.315,1.06388888888889,13.2511111111111,5.75361111111113,5.82416666666667,15.5588888888889,0.920052845818755,0.086416609274646,0.958935185185189,0.970694444444445,8.93379990002142,-1.88683479870638,12.8333333333333,7,0.102985611510792,0.025944267841541,0.074488888888889,0.128875661375661,Consistent,Low
60v45012,M,ASY,23,k44,VariableNoise,S1,BSC,12/17/2019,17,December,16.6869444444444,17.0697222222222,18.0797222222222,0.081944444444445,6.075,8.1425,-0.275555555555554,16.8372222222222,16.8580555555556,0.020833333333336,13.7208333333334,0.469722222222233,13.2511111111111,5.26583333333334,5.7725,15.4555555555556,0.887760603882101,0.054124367337993,0.87763888888889,0.962083333333334,7.63479511143063,-3.18583958729718,9.66666666666667,6.33333333333333,0.116278248587571,0.03923690491832,0.081428571428572,0.142668128654971,Variable,Low
60v45485,M,SY,6,k1,Baseline,Baseline,BSC,12/23/2019,23,December,16.5686111111111,17.4491666666667,18.4491666666667,0.449166666666667,6.44916666666667,8.39,,16.6405555555556,16.6619444444444,0.02138888888889,14.7963888888889,,,5.72972222222224,5.86527777777778,15.8213888888889,0.935214284460208,,0.954953703703706,0.977546296296296,4.10836244886493,,5.5,2.16666666666667,0.227636752136752,,0.161917562724015,0.438226495726496,Baseline,Baseline
